"","Value","Age","Overall","Potential","Nationality","International.Reputation","Preferred.Foot.Right","Weak.Foot","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","DefensiveAwareness","Wage","Special","Height","Weight","Release.Clause"
"938",1400000,33,74,74,"Austria",1,1,4,72,74,69,72,75,16,33000,1062,194,92,2400000
"939",2e+05,24,60,64,"Republic of Ireland",1,1,2,60,59,61,59,63,17,1000,1062,190,83,365000
"940",1100000,25,66,72,"Portugal",1,1,2,66,65,65,64,67,13,2000,1061,188,70,1800000
"941",4900000,26,74,79,"Portugal",1,1,3,77,68,59,72,76,16,8000,1061,189,82,10700000
"942",4e+05,33,68,68,"Germany",1,1,2,70,65,65,66,68,12,7000,1060,190,86,640000
"943",210000,35,71,71,"Japan",1,1,3,67,71,74,72,70,29,4000,1060,184,78,263000
"944",160000,32,61,61,"Korea Republic",1,1,2,61,60,59,58,62,15,2000,1060,197,93,208000
"946",1400000,27,69,72,"France",1,1,3,73,64,59,70,72,8,7000,1060,191,87,2900000
"947",110000,30,57,57,"China PR",1,1,1,58,55,54,53,58,25,2000,1060,188,83,176000
"949",3e+06,24,72,78,"Venezuela",1,1,3,72,70,68,72,75,11,2000,1059,182,73,4700000
"950",350000,25,61,65,"North Macedonia",1,1,3,64,59,58,60,64,9,8000,1059,196,80,691000
"951",425000,32,66,66,"England",1,1,2,67,65,66,65,66,8,1000,1059,191,91,744000
"952",525000,30,65,66,"Norway",1,1,2,66,62,62,61,67,23,1000,1059,183,75,696000
"953",150000,38,69,69,"Italy",1,1,1,68,69,46,70,68,11,10000,1059,195,88,255000
"954",60000,37,64,64,"England",1,0,1,63,62,52,65,66,14,7000,1058,192,87,114000
"957",2300000,23,71,76,"Italy",1,1,3,74,71,67,71,74,21,2000,1058,187,81,3900000
"958",1700000,18,66,81,"Spain",1,1,3,65,64,63,66,67,9,500,1057,183,77,4900000
"959",2e+06,27,72,73,"Germany",1,1,3,70,69,67,72,75,11,9000,1057,185,78,3400000
"960",875000,28,67,69,"Austria",1,1,2,68,62,59,66,70,13,3000,1057,196,94,1300000
"962",50000,33,57,57,"Republic of Ireland",1,1,3,63,56,56,56,57,28,5000,1057,197,101,95000
"963",775000,23,62,71,"England",1,1,3,64,59,57,60,64,18,6000,1057,191,77,1600000
"964",4500000,23,74,77,"Croatia",1,1,2,74,74,63,75,75,13,10000,1056,194,89,8400000
"965",7e+05,24,64,69,"Germany",1,1,5,65,61,56,63,68,14,800,1056,188,89,928000
"966",1500000,21,65,77,"France",1,1,3,65,65,61,67,66,12,3000,1054,184,74,3300000
"967",4e+05,28,63,65,"Norway",1,1,3,58,62,65,60,67,8,1000,1054,201,102,530000
"968",3800000,25,73,79,"Switzerland",1,1,2,76,73,67,73,74,30,7000,1054,192,83,6300000
"969",275000,30,62,62,"Wales",1,1,3,63,62,62,61,63,9,2000,1054,188,79,509000
"970",1e+06,30,69,70,"France",2,1,2,68,67,62,67,72,15,21000,1053,193,93,1900000
"971",1100000,22,64,74,"Spain",1,1,3,60,62,62,68,66,14,3000,1053,187,84,2500000
"972",7e+06,23,74,81,"Russia",1,0,3,75,70,67,72,78,19,26000,1053,187,82,12600000
"974",8e+05,32,70,70,"France",1,1,3,69,70,70,70,69,13,3000,1052,184,74,1400000
"975",210000,34,68,68,"Germany",1,0,3,71,66,68,65,69,11,4000,1052,195,88,326000
"976",7e+05,18,60,81,"Spain",1,1,2,61,64,60,57,61,20,500,1052,180,70,1200000
"977",3700000,23,73,78,"Czech Republic",1,0,3,74,75,75,74,73,5,500,1052,190,78,8e+06
"978",1500000,23,68,74,"Chile",1,1,3,68,66,67,69,68,11,2000,1052,192,88,2300000
"979",170000,34,67,67,"Croatia",1,1,3,71,65,62,61,70,14,500,1052,186,80,374000
"980",10500000,20,75,83,"Georgia",1,0,3,76,77,71,76,79,5,14000,1051,199,88,24200000
"983",40000,34,60,60,"Korea Republic",1,1,3,60,61,60,60,58,28,1000,1050,188,83,52000
"984",90000,36,66,66,"Austria",1,1,2,64,65,60,67,66,19,2000,1050,195,93,144000
"985",425000,25,62,66,"England",1,1,3,63,61,60,60,64,12,3000,1050,193,83,776000
"986",1500000,23,66,73,"England",1,1,2,66,63,63,67,65,19,8000,1050,184,77,3100000
"987",925000,21,63,74,"Iceland",1,1,3,63,64,51,64,65,10,3000,1049,201,85,1400000
"988",450000,27,63,65,"Turkey",1,1,2,63,61,60,63,66,14,3000,1048,195,92,934000
"989",1500000,24,68,73,"Germany",1,1,3,70,64,59,67,74,9,10000,1048,187,83,2700000
"990",1e+06,23,66,71,"France",1,1,2,67,64,63,66,67,10,1000,1048,188,80,1800000
"991",925000,22,63,72,"Italy",1,1,3,68,59,56,58,65,13,2000,1048,192,83,9e+05
"992",2600000,21,68,80,"Turkey",1,1,3,66,70,69,64,73,18,8000,1048,190,73,5500000
"993",250000,24,58,63,"Australia",1,1,2,60,63,60,50,58,12,500,1047,198,90,331000
"995",20000,39,57,57,"Northern Ireland",1,1,3,55,56,57,55,57,18,500,1047,188,86,31000
"996",2300000,25,71,77,"Paraguay",1,1,3,70,67,70,72,73,5,500,1047,185,80,5400000
"998",25000,35,60,60,"Saudi Arabia",1,1,3,58,62,62,59,61,19,1000,1046,190,86,41000
"999",5e+05,24,62,68,"United States",1,1,3,66,58,59,60,64,13,1000,1045,196,84,850000
"1000",2100000,20,67,81,"Spain",1,1,2,65,69,68,66,64,6,16000,1045,185,85,5600000
"1001",575000,24,63,68,"Germany",1,1,3,66,55,69,57,68,9,700,1045,186,82,877000
"1002",180000,23,53,63,"Russia",1,1,3,47,56,63,50,52,10,4000,1044,189,80,324000
"1003",775000,26,65,69,"Sweden",1,1,3,68,63,65,63,66,21,950,1044,189,79,1e+06
"1004",7e+05,29,67,67,"France",1,1,2,70,65,65,65,65,10,2000,1044,185,77,875000
"1005",210000,39,71,71,"Argentina",1,1,3,71,68,64,72,70,15,4000,1044,192,86,305000
"1006",425000,24,61,67,"England",1,1,2,61,59,56,58,64,9,2000,1044,190,80,829000
"1007",2400000,23,69,76,"Bosnia and Herzegovina",1,1,1,72,66,68,71,74,8,3000,1044,192,81,3700000
"1008",350000,35,73,73,"Italy",2,0,2,72,72,63,76,70,8,7000,1043,191,82,630000
"1009",3900000,23,73,79,"Belgium",1,1,2,73,73,68,70,75,10,8000,1043,186,80,6600000
"1010",1100000,19,63,80,"England",1,0,2,63,62,63,62,65,7,1000,1042,188,86,2600000
"1011",1600000,18,65,83,"Netherlands",1,1,3,71,63,65,57,69,12,500,1042,193,75,3400000
"1012",2200000,22,67,79,"Republic of Ireland",1,1,3,67,63,67,64,70,18,17000,1042,188,74,4500000
"1013",425000,26,62,66,"England",1,1,3,64,60,58,61,64,11,2000,1042,191,75,776000
"1014",1400000,26,68,73,"Russia",1,1,3,70,61,65,66,72,12,3000,1042,190,80,1900000
"1015",550000,29,65,66,"Czech Republic",1,1,3,68,60,56,65,69,16,3000,1041,206,102,1e+06
"1017",25000,38,59,59,"England",1,1,3,58,58,57,59,57,14,850,1041,187,84,44000
"1018",1e+06,19,63,78,"Mexico",1,1,3,64,61,53,61,64,19,1000,1041,182,77,2300000
"1019",1200000,26,68,71,"Germany",1,0,4,70,66,62,63,71,15,8000,1040,190,89,2300000
"1020",1100000,27,67,71,"England",1,0,3,72,65,67,65,70,17,4000,1040,190,82,2100000
"1021",1600000,21,71,71,"Brazil",1,1,3,71,72,72,76,72,8,8000,1040,193,84,3e+06
"1022",3100000,23,70,78,"France",1,1,3,72,68,65,70,71,13,7000,1040,183,78,7400000
"1025",2100000,27,72,74,"France",1,1,2,75,74,71,69,71,14,10000,1038,196,87,4400000
"1026",16500000,25,78,83,"Serbia",2,1,2,77,76,74,79,81,11,20000,1038,191,85,34200000
"1027",925000,23,63,71,"Scotland",1,1,3,62,63,63,62,64,10,6000,1037,189,80,1900000
"1028",450000,21,59,68,"England",1,1,3,61,58,60,56,60,17,1000,1037,186,75,878000
"1029",350000,26,61,65,"England",1,0,2,61,59,60,62,63,19,3000,1036,185,80,639000
"1030",2700000,22,69,80,"Spain",1,1,3,68,66,69,67,71,9,29000,1036,184,78,6100000
"1031",625000,24,61,69,"England",1,1,2,62,60,59,59,61,9,3000,1036,190,81,1300000
"1034",4500000,23,72,80,"Turkey",1,1,2,70,69,69,71,76,18,7000,1035,193,79,9900000
"1035",1300000,29,70,72,"Ukraine",1,1,3,69,66,73,71,71,11,500,1035,188,82,2800000
"1036",3e+06,21,69,81,"Netherlands",1,1,5,69,66,66,69,70,14,12000,1034,202,85,6300000
"1037",9e+05,18,62,78,"Spain",1,1,3,62,66,66,59,56,6,2000,1034,186,81,2400000
"1038",450000,33,69,69,"Serbia",1,1,2,69,63,61,71,72,11,9000,1034,187,80,9e+05
"1039",3e+05,24,60,65,"Sweden",1,1,2,62,59,61,60,60,12,650,1033,200,93,398000
"1040",5e+05,32,67,67,"Italy",1,1,2,64,65,60,66,69,16,5000,1033,184,84,850000
"1041",4e+05,23,61,66,"Austria",1,1,2,61,62,59,58,60,28,2000,1033,186,86,610000
"1042",15000,34,53,53,"India",1,1,2,52,50,50,50,57,14,500,1032,181,72,14000
"1043",1500000,27,70,72,"Germany",1,1,2,69,69,68,69,71,13,11000,1031,192,84,2800000
"1044",35000,38,61,61,"Republic of Ireland",1,1,1,61,62,55,62,58,13,500,1031,183,83,54000
"1046",3400000,21,70,82,"Nigeria",1,1,2,70,68,69,69,71,11,500,1031,196,91,8e+06
"1047",7e+05,27,65,68,"Portugal",1,0,2,64,65,62,67,65,12,3000,1031,196,98,1500000
"1048",1e+06,20,63,76,"Spain",1,1,2,67,60,57,62,64,13,1000,1031,181,76,2200000
"1049",1e+06,31,71,71,"Ecuador",1,1,2,73,70,69,70,73,7,550,1031,187,80,2200000
"1050",1600000,29,72,72,"Peru",1,1,2,71,69,67,71,73,17,500,1030,185,78,3400000
"1051",1700000,23,67,74,"Serbia",1,1,2,71,63,59,61,69,12,3000,1030,191,81,2800000
"1052",2e+06,21,67,75,"Japan",1,1,2,68,59,63,64,71,28,2000,1030,184,82,3e+06
"1053",1.8e+07,23,77,84,"Turkey",1,1,2,79,73,71,77,81,14,28000,1030,198,73,37800000
"1054",650000,27,65,67,"Brazil",1,1,1,66,61,62,64,66,21,5000,1029,188,83,1300000
"1055",45000,36,62,62,"Germany",1,1,3,61,62,52,62,59,11,900,1028,188,84,78000
"1056",1300000,21,64,78,"Spain",1,1,3,64,62,61,63,66,11,5000,1028,187,80,3500000
"1057",4300000,29,75,76,"Czech Republic",1,1,3,76,78,76,76,74,6,800,1028,188,85,9400000
"1058",1400000,27,69,72,"Greece",1,1,2,68,67,65,66,72,8,500,1027,191,84,3200000
"1059",2300000,23,68,77,"Netherlands",1,1,3,68,64,66,67,69,12,4000,1026,191,82,3900000
"1060",450000,25,63,65,"Denmark",1,0,2,64,61,55,62,65,24,2000,1025,190,91,596000
"1061",575000,24,63,68,"New Zealand",1,1,1,62,63,60,63,65,7,1000,1025,195,90,1e+06
"1062",50000,33,57,57,"Sweden",1,1,2,54,57,52,59,58,23,800,1025,193,93,63000
"1063",1100000,23,66,72,"France",1,1,3,67,64,66,61,71,8,3000,1024,192,83,2400000
"1064",5e+05,19,60,75,"Argentina",1,1,3,57,61,59,60,62,20,800,1023,183,73,1100000
"1065",5e+05,28,64,66,"United States",1,1,3,67,62,61,61,66,17,2000,1023,193,91,763000
"1066",1400000,28,70,72,"Italy",1,1,3,70,68,67,71,71,17,8000,1023,193,88,2600000
"1068",6e+06,27,75,79,"Ukraine",1,1,3,75,65,80,72,79,14,750,1022,196,84,13700000
"1069",825000,29,68,68,"Italy",1,1,3,71,63,53,62,77,23,1000,1022,191,83,1300000
"1070",925000,32,71,71,"Serbia",1,1,2,71,67,67,72,73,6,700,1021,194,87,2e+06
"1072",40000,33,55,55,"Saudi Arabia",1,1,3,56,53,58,57,52,23,2000,1021,179,67,66000
"1073",45000,35,62,62,"Japan",1,0,3,63,59,66,62,64,13,1000,1021,182,73,59000
"1074",425000,25,62,66,"Netherlands",1,1,2,62,61,60,59,62,9,2000,1020,188,73,669000
"1075",110000,36,67,67,"Northern Ireland",1,1,3,68,65,64,67,69,9,6000,1019,191,89,220000
"1076",1100000,24,64,72,"Mexico",1,1,2,63,62,62,65,67,5,8000,1019,183,86,2100000
"1077",7e+05,20,61,74,"Algeria",1,1,3,59,60,60,59,61,6,2000,1018,185,82,1800000
"1078",15000,41,56,56,"Canada",1,0,2,55,52,53,54,55,12,600,1018,188,80,19000
"1079",50000,41,63,63,"Bosnia and Herzegovina",1,1,2,58,63,58,67,63,21,500,1018,192,91,63000
"1080",2300000,24,68,76,"Russia",1,1,2,66,66,61,67,68,11,3000,1018,191,84,5300000
"1081",8e+05,18,62,75,"Uruguay",1,1,1,63,60,76,57,65,7,500,1018,181,83,2300000
"1082",230000,26,58,63,"Saudi Arabia",1,1,3,62,57,52,57,56,17,2000,1017,189,88,397000
"1083",210000,31,62,62,"England",1,1,2,63,62,61,60,64,25,1000,1017,188,83,368000
"1085",725000,28,67,67,"France",1,0,2,69,66,58,69,70,12,2000,1017,186,80,963000
"1086",350000,32,65,65,"Uruguay",1,1,2,65,64,65,66,63,9,500,1017,184,78,753000
"1087",240000,34,69,69,"Guinea",1,1,2,70,64,79,66,71,24,2000,1017,185,75,3e+05
"1088",1100000,24,66,72,"England",1,1,3,68,66,65,65,67,10,7000,1016,191,85,2300000
"1089",450000,26,63,65,"Germany",1,1,3,63,61,62,60,65,3,750,1015,194,89,686000
"1090",1100000,23,64,72,"England",1,1,3,64,62,66,63,66,25,2000,1015,183,73,2100000
"1091",1100000,22,64,72,"England",1,1,2,66,64,63,65,67,12,2000,1015,188,76,2300000
"1093",2400000,18,68,83,"Turkey",1,1,2,66,67,65,69,69,8,1000,1014,189,73,6100000
"1094",8e+05,30,68,68,"Ecuador",1,1,2,67,67,68,65,67,10,500,1013,184,80,1800000
"1095",1500000,24,66,73,"France",1,1,2,67,62,64,66,67,9,1000,1013,185,83,2900000
"1096",4e+05,30,64,64,"Liechtenstein",1,0,3,63,63,62,65,66,21,2000,1012,187,85,580000
"1097",475000,19,59,71,"Netherlands",1,1,3,56,63,60,54,57,12,750,1012,188,81,760000
"1098",350000,28,62,64,"England",1,1,3,63,62,62,60,64,14,5000,1012,191,96,691000
"1100",7e+05,20,61,74,"Germany",1,1,3,58,60,60,65,62,11,3000,1011,185,78,1600000
"1101",275000,21,55,67,"England",1,1,3,56,52,55,55,57,19,850,1011,192,75,536000
"1102",475000,27,63,66,"England",1,1,3,62,61,62,63,63,10,2000,1011,193,72,867000
"1103",5e+05,23,62,68,"Slovenia",1,1,3,61,64,67,61,67,15,1000,1010,192,86,1200000
"1104",1700000,24,69,74,"France",1,1,3,69,68,68,68,69,15,2000,1010,187,81,3100000
"1105",2700000,22,69,77,"Portugal",1,1,3,70,67,66,68,69,13,2000,1010,189,82,6200000
"1106",475000,18,57,79,"Italy",1,1,3,57,56,51,50,60,11,500,1009,185,70,560000
"1107",1900000,20,67,78,"Croatia",1,1,2,65,64,62,69,68,10,3000,1009,189,75,3e+06
"1109",1400000,24,68,72,"Slovakia",1,1,3,71,63,64,67,69,12,8000,1007,188,82,2800000
"1111",325000,27,61,64,"Wales",1,1,2,61,59,58,60,62,9,1000,1007,181,78,593000
"1112",2e+06,23,67,77,"Slovenia",1,1,3,67,66,67,70,71,17,2000,1006,197,82,4500000
"1113",4100000,21,72,79,"Croatia",1,1,3,71,69,62,69,77,9,9000,1006,187,78,7800000
"1115",825000,26,65,70,"Mexico",1,0,2,67,59,60,64,69,17,8000,1004,193,74,1400000
"1116",1100000,24,64,72,"Mexico",1,1,2,64,67,62,65,64,25,2000,1004,183,75,2100000
"1117",5e+05,28,64,66,"England",1,0,3,64,61,58,66,65,21,2000,1004,183,72,913000
"1119",1200000,24,65,72,"Portugal",1,1,1,65,63,64,65,67,7,2000,1003,188,76,2600000
"1120",130000,24,58,63,"England",1,1,2,60,57,54,54,59,17,1000,1002,188,79,237000
"1121",1900000,24,70,75,"Croatia",1,1,3,75,63,64,70,73,11,8000,1001,201,96,2800000
"1122",1500000,25,71,71,"Brazil",1,1,2,61,73,69,73,70,14,12000,1001,188,83,2900000
"1123",675000,25,64,69,"Germany",1,1,3,67,60,59,60,70,12,3000,1000,191,85,1100000
"1125",675000,25,64,69,"Turkey",1,1,1,65,64,59,63,65,7,2000,999,193,86,1400000
"1126",5e+05,18,60,74,"Japan",1,1,3,65,56,61,50,67,8,500,999,189,91,963000
"1127",2100000,20,67,79,"Ecuador",1,1,2,67,65,63,65,68,11,500,998,188,68,4900000
"1128",120000,18,51,66,"England",1,1,3,51,50,49,49,53,18,500,997,180,60,285000
"1129",1100000,27,68,70,"Turkey",1,1,2,69,63,62,68,72,5,8000,996,184,79,2300000
"1130",4400000,20,72,81,"England",1,1,3,73,70,68,72,74,9,11000,996,190,78,9700000
"1131",325000,18,56,74,"England",1,1,3,60,54,58,53,54,15,500,996,183,76,772000
"1132",275000,33,66,66,"Argentina",1,0,2,67,65,65,63,68,15,4000,995,184,85,413000
"1134",3e+05,32,64,64,"United States",1,0,3,66,62,63,62,64,7,2000,995,191,98,450000
"1135",210000,18,53,71,"Norway",1,1,2,56,49,58,49,57,8,500,995,185,75,394000
"1136",825000,19,62,77,"Sweden",1,1,3,63,60,61,61,64,9,550,994,185,72,1800000
"1137",7e+05,20,61,73,"Mexico",1,1,2,61,62,60,59,65,19,3000,994,185,79,1300000
"1138",2700000,21,69,78,"Germany",1,1,3,70,69,66,67,71,7,6000,994,193,88,4600000
"1139",1100000,17,63,80,"Poland",1,1,2,62,64,62,65,63,9,500,994,188,78,2200000
"1141",1800000,23,69,75,"Switzerland",1,1,2,71,65,64,66,70,12,8000,993,190,80,3100000
"1144",825000,23,63,70,"Portugal",1,1,2,64,60,57,61,64,19,950,992,186,82,1900000
"1145",1200000,20,64,76,"Argentina",1,1,3,65,66,70,61,64,10,1000,992,181,78,2300000
"1146",80000,35,65,65,"Japan",1,1,2,65,64,58,65,64,19,1000,991,181,75,104000
"1147",2100000,24,71,75,"Germany",1,1,3,73,67,70,67,73,12,10000,991,192,85,3500000
"1148",875000,24,65,70,"Bosnia and Herzegovina",1,1,3,63,63,62,67,66,11,1000,990,190,77,1300000
"1150",80000,40,65,65,"Japan",1,1,3,64,66,64,72,65,17,1000,990,187,80,1e+05
"1151",35000,34,58,58,"India",1,1,1,56,53,46,63,58,15,500,990,183,80,47000
"1153",575000,20,60,77,"Scotland",1,0,3,61,58,57,59,61,7,3000,989,198,86,1500000
"1154",1300000,22,67,72,"Spain",1,1,5,67,64,71,64,68,9,2000,989,184,84,2200000
"1155",2e+06,23,67,76,"Korea Republic",1,1,2,68,64,65,67,68,23,3000,989,194,88,3e+06
"1156",525000,27,64,66,"Vietnam",1,0,2,65,61,58,65,65,5,2000,988,188,88,722000
"1157",1100000,22,64,74,"Greece",1,1,3,61,63,71,59,72,6,6000,988,196,60,2300000
"1158",1700000,21,66,77,"Romania",1,1,2,67,62,62,66,68,12,2000,988,186,80,2600000
"1159",575000,30,66,66,"England",1,1,2,65,64,58,67,67,17,3000,988,181,76,1100000
"1160",1700000,22,66,76,"Slovenia",1,1,3,68,62,61,63,69,8,3000,988,188,83,3400000
"1161",5e+05,20,62,68,"England",1,1,3,64,62,62,63,63,16,600,987,194,80,975000
"1162",2e+06,23,67,76,"Spain",1,1,3,71,60,62,62,73,14,7000,987,188,75,4600000
"1164",2e+06,24,67,75,"Spain",1,0,3,65,66,67,63,68,10,2000,987,190,80,3500000
"1166",450000,21,59,68,"Poland",1,1,3,61,57,61,59,63,15,500,986,194,99,698000
"1169",375000,26,61,66,"Finland",1,1,1,59,62,63,62,63,11,550,986,191,81,497000
"1170",2e+06,30,73,73,"Hungary",2,1,3,72,72,70,68,77,12,700,985,188,81,4400000
"1171",475000,24,62,67,"Germany",1,1,3,63,58,60,62,63,17,1000,984,191,82,772000
"1172",1100000,19,63,79,"Sweden",1,1,2,63,69,68,63,65,7,2000,983,189,77,3e+06
"1173",5e+05,19,60,74,"Netherlands",1,1,3,59,56,58,58,63,12,550,983,192,75,1100000
"1174",350000,20,57,69,"Liechtenstein",1,1,3,60,57,55,55,57,6,700,982,188,82,578000
"1175",1400000,25,69,72,"Japan",1,1,2,69,67,63,66,72,17,5000,982,181,72,1900000
"1176",825000,19,62,74,"France",1,1,2,66,61,59,58,65,9,500,981,192,76,1700000
"1177",425000,20,59,70,"Netherlands",1,1,3,55,60,59,56,61,8,1000,981,187,76,723000
"1178",450000,18,59,74,"France",1,1,3,61,58,56,61,60,13,500,981,191,76,1200000
"1179",1100000,30,70,70,"Germany",1,1,3,71,70,67,70,70,20,5000,980,195,90,1700000
"1180",1300000,19,64,82,"Republic of Ireland",1,1,2,65,63,67,62,66,16,1000,980,189,78,3100000
"1181",550000,24,61,68,"Wales",1,1,3,64,60,58,62,64,9,1000,980,188,70,1100000
"1182",130000,35,68,68,"Bosnia and Herzegovina",1,1,2,68,61,54,69,74,12,2000,979,198,95,189000
"1183",325000,27,61,64,"France",1,1,2,62,59,56,60,64,8,950,979,181,75,593000
"1184",2400000,24,69,76,"Germany",1,1,3,69,69,60,70,72,14,1000,979,189,89,4e+06
"1185",475000,25,62,67,"Germany",1,1,3,59,60,63,60,64,10,7000,978,187,84,843000
"1186",1500000,20,65,78,"Netherlands",1,1,3,65,63,60,64,64,8,1000,978,187,87,3100000
"1187",475000,35,74,74,"Nigeria",1,1,2,74,72,68,75,75,24,500,978,189,86,1e+06
"1189",1100000,22,64,74,"Romania",1,1,2,67,58,53,62,69,8,950,977,188,75,1700000
"1190",1300000,21,64,76,"England",1,1,2,64,64,62,63,65,9,1000,977,186,79,2500000
"1191",2e+06,20,66,82,"Italy",1,1,3,65,66,58,66,70,12,6000,977,191,83,4700000
"1192",725000,25,64,70,"Portugal",1,1,1,62,63,57,63,64,14,4000,977,185,80,1700000
"1193",160000,33,63,63,"Bulgaria",1,1,3,59,64,70,63,61,19,1000,977,185,85,270000
"1194",1600000,29,72,72,"Brazil",1,1,3,71,72,72,73,69,8,8000,976,192,86,3400000
"1195",2300000,23,68,76,"Spain",1,1,3,70,68,64,67,69,15,14000,975,191,78,4400000
"1196",250000,24,59,63,"China PR",1,1,2,62,51,50,51,63,18,1000,975,189,83,406000
"1197",1600000,23,66,74,"Australia",1,1,2,65,64,63,65,67,25,2000,975,190,90,2300000
"1198",775000,27,66,68,"Germany",1,1,4,66,64,58,66,68,10,2000,975,194,82,1200000
"1199",2400000,23,69,76,"Spain",1,1,2,71,68,65,69,67,9,3000,975,191,82,4300000
"1200",1e+06,22,64,71,"Uruguay",1,1,3,65,62,57,66,64,12,2000,975,185,80,1700000
"1201",1500000,23,68,74,"Brazil",1,1,3,65,67,62,70,68,8,11000,975,190,86,2900000
"1202",3e+05,24,60,65,"Japan",1,1,3,62,57,53,54,66,8,1000,975,180,70,398000
"1203",1100000,29,69,70,"Japan",1,1,4,70,68,70,68,71,9,6000,975,196,90,1700000
"1204",1400000,21,65,76,"England",1,1,3,65,64,62,61,66,14,2000,974,186,75,2700000
"1206",750000,20,62,72,"Colombia",1,1,1,60,59,60,58,64,20,500,973,194,84,1200000
"1207",1e+06,25,66,71,"Venezuela",1,1,2,67,64,62,65,66,9,600,973,186,83,1400000
"1209",1500000,24,68,74,"Spain",1,1,2,69,66,51,63,73,7,3000,972,183,79,2700000
"1211",1100000,21,64,74,"Portugal",1,1,3,59,63,58,63,69,11,1000,971,188,80,2500000
"1212",775000,22,62,70,"Germany",1,1,3,64,60,58,59,62,15,600,971,192,92,1300000
"1213",6e+05,27,65,66,"Bulgaria",1,1,3,66,64,65,65,62,16,4000,971,188,83,1e+06
"1214",8e+05,24,65,69,"Portugal",1,1,3,69,58,59,59,67,14,1000,970,189,76,1700000
"1215",350000,25,61,65,"Germany",1,1,3,61,59,61,59,62,15,3000,969,187,88,656000
"1217",60000,34,61,61,"Scotland",1,1,3,61,60,61,61,62,14,1000,968,183,79,105000
"1218",850000,21,62,76,"Spain",1,1,3,65,62,52,60,64,7,900,968,188,80,1900000
"1219",650000,22,61,71,"Portugal",1,1,2,62,61,59,59,63,10,3000,967,186,80,1400000
"1220",275000,30,62,62,"Brazil",1,1,2,61,60,61,62,63,7,2000,967,193,85,481000
"1221",160000,23,53,60,"Morocco",1,1,4,52,53,58,50,56,12,1000,966,188,80,312000
"1222",1100000,20,64,75,"France",1,1,3,64,62,60,62,66,11,1000,966,194,89,2100000
"1223",1400000,21,65,73,"Austria",1,1,3,67,63,62,65,66,9,3000,966,195,84,2400000
"1224",4e+05,22,58,66,"Brazil",1,1,2,58,55,58,55,60,12,850,965,185,82,680000
"1226",1100000,21,64,73,"France",1,1,3,68,62,59,64,71,12,800,964,190,82,2100000
"1227",50000,23,48,52,"China PR",1,1,2,49,47,45,44,46,20,1000,964,196,85,81000
"1228",8e+05,24,65,69,"Austria",1,1,2,66,64,64,63,67,13,5000,964,187,75,1300000
"1229",375000,18,57,76,"Colombia",1,1,2,58,55,57,55,58,8,500,963,187,83,741000
"1230",160000,30,60,60,"Italy",1,1,2,62,60,62,58,60,20,5000,963,193,83,272000
"1231",3e+05,21,56,70,"India",1,1,3,55,54,56,54,58,8,500,962,174,70,593000
"1232",575000,19,60,77,"England",1,1,3,63,60,60,60,65,6,4000,962,180,75,1500000
"1233",3100000,24,70,78,"Mexico",1,1,2,70,70,63,70,72,15,5000,961,181,75,5900000
"1234",7e+05,21,61,73,"France",1,1,2,62,60,60,57,63,8,2000,961,194,90,1500000
"1235",50000,35,63,63,"Japan",1,1,2,63,67,58,63,58,15,1000,961,186,80,65000
"1236",1e+06,20,63,78,"Turkey",1,0,3,65,61,59,64,68,15,3000,961,195,82,2600000
"1237",625000,20,61,72,"El Salvador",1,1,2,63,59,61,59,61,5,700,960,185,79,1100000
"1238",2e+06,22,70,75,"Switzerland",1,1,2,70,61,62,71,75,11,2000,959,186,80,3800000
"1240",575000,30,66,66,"Turkey",1,0,2,68,66,60,66,66,11,4000,959,190,81,1200000
"1241",4e+05,18,58,71,"Netherlands",1,1,2,59,55,61,57,57,6,500,959,184,75,830000
"1242",1800000,21,67,74,"Japan",1,1,2,68,66,65,62,70,12,2000,958,187,86,2600000
"1243",475000,22,60,69,"Slovakia",1,1,3,63,59,61,57,61,15,1000,957,196,88,689000
"1244",1e+06,21,63,75,"Brazil",1,1,3,64,62,65,59,63,12,3000,954,185,79,2300000
"1245",1400000,23,65,73,"Spain",1,0,3,66,66,63,62,74,9,3000,954,188,76,3200000
"1246",1100000,24,67,70,"Germany",1,1,3,69,69,66,68,68,14,3000,954,193,89,1800000
"1247",750000,19,61,77,"England",1,1,2,60,58,54,62,63,13,3000,953,196,83,1900000
"1248",1400000,24,65,73,"Serbia",1,1,5,65,66,63,63,67,5,2000,953,195,91,2400000
"1249",850000,21,62,76,"Germany",1,1,3,69,59,57,52,71,15,500,953,194,90,1800000
"1250",5e+05,19,60,74,"Germany",1,1,2,63,58,59,56,65,12,1000,953,190,83,1100000
"1251",575000,29,66,66,"Italy",1,1,2,70,62,51,59,74,18,8000,952,192,96,978000
"1252",4e+05,24,58,66,"Germany",1,1,3,59,57,55,54,58,10,550,951,188,92,660000
"1253",60000,37,64,64,"Italy",1,1,2,64,60,59,64,66,3,8000,951,185,80,77000
"1254",250000,38,72,72,"Italy",1,1,1,67,71,62,72,74,12,25000,950,188,83,425000
"1255",2e+06,22,67,75,"France",1,1,2,68,66,64,67,66,7,5000,949,184,85,4400000
"1256",575000,19,60,77,"Croatia",1,1,3,62,58,54,57,61,5,500,948,189,82,1600000
